companies,url,platform_version_release_dates,memory,sound,connectivity,media,name,slug,resolutions,checksum,output,cpu,main_manufacturer,graphics,online,os,platform_logo,storage,id,summary
,https://www.igdb.com/platforms/wonderswan/version/swancrystal,[140],,,,,SwanCrystal,swancrystal,,0b103ab5-0046-841f-68ad-a798e4702bfe,,,,,,,263.0,,117,
,https://www.igdb.com/platforms/new-nintendo-3ds/version/initial-version,"[260, 261]",,,,,Initial version,initial-version,,89469ff6-b8e4-791b-ca48-6b86ded1853f,,,,,,,235.0,,195,
,https://www.igdb.com/platforms/donner30/version/initial-version,,,,,,Initial version,initial-version,,a924bdad-34d0-d4fb-1fc6-af9fdb9723c8,,,,,,,,,93,
,https://www.igdb.com/platforms/pdp10/version/initial-version,,,,,,Initial version,initial-version,,be63d6df-3e82-1c8b-cc35-e6b644577e14,,,,,,,,,116,
,https://www.igdb.com/platforms/hp2100/version/initial-version,,,,,,Initial version,initial-version,,1f78e979-6a06-3500-e70a-758de6c7ef15,,,,,,,,,130,
,https://www.igdb.com/platforms/analogueelectronics/version/initial-version,,,,,,Initial version,initial-version,,57684063-eeb9-b25c-c16a-8053bd41858c,,,,,,,,,126,
,https://www.igdb.com/platforms/gbc/version/initial-version-cfe9db03-c422-4216-b8de-539d686f3616,"[85, 86, 87, 88]",32 KB,,,Game Boy Cartridge,Initial version,initial-version-cfe9db03-c422-4216-b8de-539d686f3616,,4acf32ae-dae7-eed0-9387-160b9849ba25,,Sharp LR35902 @ 8 MHz,,,,,273.0,,41,
[532],https://www.igdb.com/platforms/pc-8801/version/initial-version,[551],64 kilobytes and higher,,,Floppy disk,Initial version,initial-version,,76bbbe04-5640-bfad-7727-f8391d946d2d,,NEC µPD780C @ 4MHz & higher,,,,,542.0,,163,"The PC-8800 series (Japanese: PC-8800シリーズ, Hepburn: Pī Shī Hassen Happyaku Shirīzu), commonly shortened to PC-88, are a brand of Zilog Z80-based 8-bit home computers released by Nippon Electric Company (NEC) in 1981 and primarily sold in Japan. 
 
The PC-8800 series sold extremely well and became one of the three major Japanese home computers of the 1980s, along with the Fujitsu FM-7 and Sharp X1. It was later eclipsed by NEC's 16-bit PC-9800 series, although it still maintained strong sales up until the early 90s. 
 
NEC's American subsidiary, NEC Home Electronics (USA), marketed variations of the PC-8800 in the United States."
,https://www.igdb.com/platforms/astrocade/version/initial-version,,,,,,Initial version,initial-version,,e3004e5b-93d9-94ec-16e8-84787bebc92a,,,,,,,,,105,
[294],https://www.igdb.com/platforms/ouya/version/initial-version-729a252f-e870-487e-a893-c9a2f1139bbd,[15],1 GiB DDR3 SDRAM,"5.1 Surround, 2Ch Stereo","Wi-Fi 802.11 b/g/n, Bluetooth LE 4.0, Ethernet port",,Initial version,initial-version-729a252f-e870-487e-a893-c9a2f1139bbd,"1080p, 720p",996a6c9c-4d46-88d6-26ce-94ca112588dc,"HDMI, USB 2.0, Micro USB",1.7 GHz Quad-Core ARM Cortex-A9,,Nvidia GeForce ULP @ 520 MHz,,Android 4.1 Jelly Bean,236.0,8 GB internal flash memory,55,"The Ouya (/ˈuːjə/ oo-yə), stylized OUYA, is a microconsole running its own version of the Android operating system, developed by Ouya Inc. Julie Uhrman founded the project in 2012. She brought in designer Yves Béhar to collaborate on the design of the project, and Muffi Ghadiali as product manager to put together the engineering team. Development was funded via Kickstarter, raising $8.5 million and becoming the website's second-highest-earning project in its history.

Units started to ship to Kickstarter backers on March 28, 2013. The console was released to the general public on June 25, 2013, and features an exclusive Ouya store for applications and games designed specifically for the Ouya platform, of which the majority are casual games targeted at or used by a mass audience of casual gamers. Out of the box, Ouya supports media apps such as TwitchTV and XBMC media player. It runs a modified version of Android 4.1 Jelly Bean, and is open to rooting without voiding the warranty (developer models ordered during the Kickstarter campaign for $699 or $1,337 come pre-rooted). The console's hardware design allows it to be easily opened up, requiring only a standard screwdriver for easy modding and possible hardware addons.

All systems can be used as development kits, allowing any Ouya owner to also be a developer, without the need for licensing fees. All games are required to have some kind of free-to-play aspect, whether that be completely free, has a free trial, or has purchasable upgrades, levels, or other in-game items. The Ouya is classified as part of the eighth generation of video game consoles and as such is a rival competing against the PlayStation 4, Xbox One, and Wii U.

After financial issues, Ouya's employees and software assets were sold to Razer Inc., who announced the discontinuation of the Ouya console on July 27, 2015."
,https://www.igdb.com/platforms/xbox360/version/xbox-360-elite,,,,,,Xbox 360 Elite,xbox-360-elite,,69224598-256a-3ff9-a345-bd704a9e2148,,,,,,,251.0,,2,"Xbox 360 brings you a total games and entertainment experience. The largest library of games, including titles that get you right into the thick of it with Kinect. Plus, your whole family can watch HD movies, TV shows, live events, music, sports and more—across all your devices. Xbox 360 is the center of your games and entertainment universe."
[103],https://www.igdb.com/platforms/mac/version/yosemite,[159],,,,,Yosemite,yosemite,,db5c61ef-17aa-52f3-8f3a-6aea54f2a7db,,,,,,,99.0,,150,"OS X Yosemite (version 10.10) is the eleventh major release of OS X, Apple Inc.'s desktop and server operating system for Macintosh computers. Yosemite introduced a major overhaul of OS X's user interface. Its graphics replaced skeuomorphism with flat graphic design and blurred translucency effects, following the aesthetic introduced with iOS 7. Many of Yosemite's new features focus on the theme of continuity, increasing its integration with other Apple services and platforms such as iOS and iCloud."
,https://www.igdb.com/platforms/neo-geo-pocket/version/initial-version,[355],,,,,Initial version,initial-version,,5e4964dc-377c-dc88-2f7b-be603fc9fc24,,,,,,,390.0,,157,"The Neo Geo Pocket is a monochrome handheld game console released by SNK. It was the company's first handheld system and is part of the Neo Geo family. It debuted in Japan in late 1998 but never saw a western release, being exclusive to Japan and smaller Asian markets such as Hong Kong."
,https://www.igdb.com/platforms/browser/version/sg-1000,,,,,,SG-1000,sg-1000,,8af94739-cbbf-a353-03be-bda2f66c1323,,,,,,,381.0,,86,
,https://www.igdb.com/platforms/x1/version/initial-version-5be55259-43c6-4700-8222-3dda296b2e6f,,,,,,Initial version,initial-version-5be55259-43c6-4700-8222-3dda296b2e6f,,638f8c3f-9a2a-544b-2feb-ceadce27f4a7,,,,,,,297.0,,66,
"[244, 245]",https://www.igdb.com/platforms/win/version/windows-xp,[257],,,,,Windows XP,windows-xp,,8e8f0276-0dc1-dcce-6b54-aa4cfeefb03c,,,,,,,205.0,,13,"Windows XP, the successor to Windows 2000 and Windows ME, was the first consumer-oriented operating system produced by Microsoft to be built on the Windows NT kernel. Windows XP was released worldwide for retail sale on October 25, 2001, and over 400 million copies were in use in January 2006"
,https://www.igdb.com/platforms/fm-towns/version/initial-version,[184],1-2 MB RAM (upgradable to 64 MB),Richo RF5c68,,,Initial version,initial-version,320×200 to 720×512,738b2df8-9ae4-5451-54e2-89163568c411,,Intel 80386DX @ 16MHz,,,,Towns OS + Windows,365.0,,156,
[56],https://www.igdb.com/platforms/android/version/jelly-bean-4-1-x-4-3-x,[107],,,,,Jelly Bean 4.1.x-4.3.x,jelly-bean-4-1-x-4-3-x,,814f22a7-13bd-25d2-a369-2d0b8adedfd3,,,,,,,59.0,,11,
[316],https://www.igdb.com/platforms/ps2/version/slimline,[139],32 MB,CPU+SPU2,"100 Mbit Ethernet/modem, 2x USB 1.1",,Slimline,slimline,"480i, 480p",4e8e35ff-6cb7-1c7d-c0a5-77fdd36512c2,"Composite video, S-Video, RGB, VGA, YPBPR",Emotion Engine @ 294.912 MHz,,Graphics Synthesizer @ 147.456 MHz,Dynamic Network Authentication System,,254.0,"Playstation 2 Memory Card (8 MB), Playstation 1 Memory Card (1 MB)",114,"The PS2 is primarily differentiated between models featuring the original ""fat"" case design and ""slimline"" models, which were introduced at the end of 2004."
,https://www.igdb.com/platforms/famicom/version/initial-version,,,,,,Initial version,initial-version,,3d81f692-d812-9cc3-db37-7c65ad81d5dd,,,,,,,277.0,,123,
,https://www.igdb.com/platforms/pdp11/version/initial-version,,,,,,Initial version,initial-version,,95881b8e-d41d-36b0-e36b-3110f8d513cb,,,,,,,,,134,
,https://www.igdb.com/platforms/sdssigma7/version/initial-version,,,,,,Initial version,initial-version,,bf2c83e7-7b9a-91a0-bb9f-fb8ef6c03546,,,,,,,,,132,
,https://www.igdb.com/platforms/imlac-pds1/version/initial-version,,,,,,Initial version,initial-version,,ce775deb-7559-be08-2d74-e5e2c05f414e,,,,,,,,,137,
,https://www.igdb.com/platforms/atari2600/version/initial-version-4d6e4123-07c6-4367-8d8a-f77760bebcc1,"[33, 34, 35]",128 bytes ram,,,,Initial version,initial-version-4d6e4123-07c6-4367-8d8a-f77760bebcc1,,e7e977d7-57bc-c953-54d9-ab241dbf4385,,"MOS 6507 @ 1,19 MHz",,,GameLine,,309.0,4 kB ROM,24,"The Atari 2600, branded as the Atari Video Computer System (Atari VCS) until November 1982, is a home video game console developed and produced by Atari, Inc. Released in September 1977, it popularized microprocessor-based hardware and games stored on swappable ROM cartridges, a format first used with the Fairchild Channel F in 1976. The VCS was bundled with two joystick controllers, a conjoined pair of paddle controllers, and a game cartridge—initially Combat and later Pac-Man.

Atari was successful at creating arcade video games, but their development cost and limited lifespan drove CEO Nolan Bushnell to seek a programmable home system. The first inexpensive microprocessors from MOS Technology in late 1975 made this feasible. The console was prototyped as codename Stella, by Atari subsidiary Cyan Engineering. Lacking funding to complete the project, Bushnell sold Atari to Warner Communications in 1976.

The Atari VCS launched in 1977 with nine simple, low-resolution games in 2 KB cartridges. The system's first killer app was the home conversion of Taito's arcade game Space Invaders in 1980. The VCS became widely successful, leading to the founding of Activision and other third-party game developers and to competition from console manufacturers Mattel and Coleco. By the end of its primary lifecycle in 1983–84, games for the 2600 were using more than four times the storage size of the launch games with significantly more advanced visuals and gameplay than the system was designed for, such as Activision's Pitfall!.

In 1982, the Atari 2600 was the dominant game system. Amid competition from both new consoles and game developers, a number of poor decisions from Atari management affected the company and the industry as a whole. The most public was an extreme investment into licensed games for the 2600, including Pac-Man and E.T. the Extra-Terrestrial. Pac-Man became the system's biggest selling game, but the conversion's poor quality eroded consumer confidence in the console. E.T. was rushed to market for the holiday shopping season and was critically panned and a commercial failure. Both games, and a glut of third-party shovelware, were factors in ending Atari's relevance in the console market. Atari's downfall reverberated through the industry resulting in the video game crash of 1983.

Warner sold Atari's home division to former Commodore CEO Jack Tramiel in 1984. In 1986, the new Atari Corporation under Tramiel released a lower-cost version of the 2600 and the backward-compatible Atari 7800, but it was Nintendo that led the recovery of the industry with its 1985 launch of the Nintendo Entertainment System. Production of the Atari 2600 ended on January 1, 1992, with an estimated 30 million units sold across its lifetime."
"[535, 536]",https://www.igdb.com/platforms/nintendo-playstation/version/initial-version,,552 KB,,,CD-ROM (Super Disc),Initial version,initial-version,,2ce6097b-0d25-ff3c-a052-991ccb4b5393,"RCA Composite, S-VIdeo, multi-out AV",3.58 Mz,,,,,529.0,,174,"The Nintendo PlayStation, or Super NES CD-ROM System, was a peripheral for the Super Nintendo Entertainment System and the Super Famicom. It was being developed in a partnership between Nintendo and Sony. It was cancelled and only one development prototype was found so far."
[538],https://www.igdb.com/platforms/odyssey--1/version/odisea-mexico-export,[173],,,,,Odisea (Mexico Export),odisea-mexico-export,,68b8c93e-a155-4e8e-1a09-737702278eca,,,,,,,,,170,Mexican Export version of the Magnavox Odyssey. For the Mexican market all accessories were changed from English to Spanish.
"[37, 84]",https://www.igdb.com/platforms/lynx/version/initial-version-2d30967a-4545-4ff8-b4bb-e82e5038fe16,[142],64 KB DRAM,8-bit 4-channel mono,,ROM cartridges,Initial version,initial-version-2d30967a-4545-4ff8-b4bb-e82e5038fe16,"160×102 standard resolution (16,320 addressable pixels)",4490e81f-eca5-3d8a-55d1-a167cd213cdf,,MOS 65SC02 @ 4 MHz,,,Comlynx (18-player networking),,42.0,"Cartridge 128 KB, 256 KB, 512 KB",29,
[529],https://www.igdb.com/platforms/exidy-sorcerer/version/initial-version,[543],,,,,Initial version,initial-version,,70ffa499-a654-cdfc-ab56-082c0ad4e777,,Zilog Z80 @ 2.106 MHz (later 4 MHz),,,,,,,353,The Sorcerer is a home computer system released in 1978 by the video game company Exidy.
[309],https://www.igdb.com/platforms/nintendo-dsi/version/nintendo-dsi-xl,"[268, 269, 270, 271]",16 MB PSRAM,,Wi-FI,"Nintendo DS Cartridge, Nintendo DSi Cartridge",Nintendo DSi XL,nintendo-dsi-xl,256x192 pixel resolution,69dbab1e-9d96-5616-174f-e7c8414a9ce2,,ARM9 clocked at 133 MHz and ARM7 clocked at 33 MHz,,,"Nintendo Wi-Fi Connection, Nintendo DSi Shop, Nintendo Zone",,246.0,"256 MB internal flash memory, SD card (up to 2gb), SDHC card (up to 32gb)",229,"The extra large version of the Nintendo DSi. 
The system itself is larger overall than the other Nintendo DS versions. 
The screens are larger than the Nintendo DSi, at 4.2-inch (110 mm), and have a larger viewing angle than the other versions allowing people around the main user to easily view the game being played. 
The system came with an extra stylus that did not fit into the system and was made in the style of a pen."
,https://www.igdb.com/platforms/stadia--1/version/stadia,,,,,,Stadia,stadia,,af700bd8-6161-1e0c-3dcd-5d24cc5043ea,,,,,,,392.0,,319,"Stadia, is the first platform created by search giant Google. Releasing in November 2019, it is the first major video game streaming platform with others rapdily approaching."
[415],https://www.igdb.com/platforms/android/version/pie,[398],,,,,Pie,pie,,632725de-8777-0c5f-66ac-ae6946bcf976,,,,,,,393.0,,320,
,https://www.igdb.com/platforms/snes--1/version/super-nintendo-original-north-american-version,"[17, 18, 19, 20]",,ROM cartridge,,"Satellaview (Japan only), Nintendo Power (Japan only), XBAND",Super Nintendo (original North American version),super-nintendo-original-north-american-version,"RF, composite, S-video, RGB",ed30c08a-95f7-32cc-c657-9f26742dad11,,16-bit 65c816 Ricoh 5A22 3.58MHz,,Nintendo S-SMP (8 stereo channels),,,73.0,128 kB,68,
[117],https://www.igdb.com/platforms/snes--1/version/super-nintendo-model-sns-101,[203],128 KB,"Nintendo S-SMP 8 channels, stereo, 64 KB",,ROM cartridge,Super Nintendo (Model SNS-101),super-nintendo-model-sns-101,256x224 to 512x448,247450ac-9d70-884b-1145-b71f5ac2fb5f,VGA,Ricoh 5A22 @ 3.58 MHz,,,,,71.0,,97,Redesign released 1997
,https://www.igdb.com/platforms/nimrod/version/initial-version,,,,,,Initial version,initial-version,,95003d46-9fff-1850-e821-3f6ad1d2c31b,,,,,,,386.0,,127,
[407],https://www.igdb.com/platforms/android/version/oreo,[275],,,,,Oreo,oreo,,0b4dc6a1-25cf-5552-a71c-f966603c20e2,,,,,,,376.0,,239,Versions 8.0 – 8.1
,https://www.igdb.com/platforms/stadia--1/version/initial-version,,,,,,Initial version,initial-version,,a570d899-eacb-7f93-808c-46ad44232506,,,,,,,,,318,
[305],https://www.igdb.com/platforms/nds/version/initial-version-edb2fbbe-ffbe-4e63-a504-4a98114ab7c7,"[76, 77, 78, 79]","4 MB RAM, 256 KB flash memory",,"Wi-FI IEEE 802,11","Nintendo DS Game Card, Game Boy Advance Cartridge",Initial version,initial-version-edb2fbbe-ffbe-4e63-a504-4a98114ab7c7,256 × 192 pixels,255b00a7-ee26-b36c-5b13-aa7db441928d,,"ARM946E-S @ 67,028 MHz, ARM7TDMI @ 33,514 MHz",,,Nintendo Wi-Fi Connection,,243.0,,52,
,https://www.igdb.com/platforms/jaguar/version/initial-version-25c50fa0-8e30-466f-8758-50b1f7e18793,"[45, 46, 47]",2MB,16-bit Stereo,,"ROM cartridge, CD-ROM (Add-on)",Initial version,initial-version-25c50fa0-8e30-466f-8758-50b1f7e18793,,7932233a-1d62-03e7-a4ec-b8f4c2fc823a,"S-Video, Composite, RGB","Multi Processor:  ''Tom'' @ 26,59 MHz, ''Jerry'' @ 26,59 MHz",,,,,286.0,ROM Cartridge 6MB,28,
[307],https://www.igdb.com/platforms/nds/version/nintendo-dsi,"[229, 230, 231, 232, 233]",16 MB PSRAM,,"Wi-Fi, Integrated 802.11b/g","Nintendo DS Game Card, Nintendo DSi Game Card",Nintendo DSi,nintendo-dsi,256 × 192 pixels,38d3ef4e-b82a-08da-d6e6-e59bc4d17242,,ARM9 clocked at 133 MHz and ARM7 clocked at 33 MHz,,,"Nintendo Wi-Fi Connection, Nintendo DSi Shop, Nintendo Zone",,244.0,"256 MB of internal flash memory, slots for a SD card (up to 2 GB) and a SDHC card (up to 32 GB)",191,"An improved version of the Nintendo DS. 
It does not have a Game Boy Advance Cartridge slot. 
It has more RAM and a faster CPU than the Nintendo DS and Lite versions. 
It has slightly larger screens and 5 brightness settings. 
It has 2 digital cameras."
,https://www.igdb.com/platforms/sfam/version/super-famicom-jr,,,,,,Super Famicom Jr.,super-famicom-jr,,589691a3-7ca1-d8e2-3012-d3ebda3e9c03,,,,,,,74.0,,98,
[321],https://www.igdb.com/platforms/n64/version/ique-player,[147],,,,iQue Memory Card,iQue Player,ique-player,,dcbb08e5-92e8-62b0-6100-8af41aa0cc6e,,,,,Fugue Online,,260.0,,122,Miniaturized plug-n-play version of the N64 made for use in China
,https://www.igdb.com/platforms/psp/version/psp-1000,"[69, 70, 71, 334, 335]",32 MB eDRAM,"Stereo speakers, 3.5 mm headphone jack","Wi-Fi 802.11b, IrDA","Universal Media Disc, digital distribution",PSP-1000,psp-1000,480 x 272,9ef024f6-3ec7-8a99-f994-203344b59cd2,,MIPS R4000,,,Playstation Network,PlayStation Portable system software,242.0,"Memory Stick Duo, Memory Stick PRO Duo",59,
