standalone_expansions,player_perspectives,category,cover,url,aggregated_rating,total_rating_count,alternative_names,genres,remasters,bundles,keywords,tags,expansions,age_ratings,storyline,involved_companies,name,slug,checksum,rating_count,videos,version_title,screenshots,game_modes,themes,artworks,external_games,language_supports,websites,rating,ports,franchises,game_engines,platforms,created_at,updated_at,parent_game,aggregated_rating_count,version_parent,expanded_games,game_localizations,collection,multiplayer_modes,first_release_date,remakes,similar_games,dlcs,status,total_rating,follows,hypes,release_dates,id,franchise,summary
[21609],[1],0,86976.0,https://www.igdb.com/games/killzone-shadow-fall,70.0,142.0,"[88957, 88958, 88959]",[5],,,"[167, 307, 453, 466, 563, 575, 1333, 1737, 2242, 2543, 3831, 4179, 4245, 4282, 4578, 4843, 4901, 4918, 5257, 5305, 5306, 5315, 5323, 5451, 5560, 5574, 6137, 6197, 7113]","[1, 18, 39, 268435461, 536871079, 536871219, 536871365, 536871378, 536871475, 536871487, 536872245, 536872649, 536873154, 536873455, 536874743, 536875091, 536875157, 536875194, 536875490, 536875755, 536875813, 536875830, 536876169, 536876217, 536876218, 536876227, 536876235, 536876363, 536876472, 536876486, 536877049, 536877109, 536878025]",,"[1297, 44779, 62897, 62898, 68889]","Killzone: Shadow Fall is set 30 years after the events of Killzone 3. Life on the Helghast home planet Helghan has been left in ruins, however, the war still goes on. The Interplanetary Strategic Alliance (ISA) allows Helghast refugees to resettle on planet Vekta. The Vektan and Helghast factions are living in a city which is divided by a large security wall. The Helghast are fighting for their right to exist, while the Vektans are fighting for survival, leading to a ""Cold War"" between Vektans and Helghast. The story is seen through the perspective of Lucas Kellan, an agent of the elite ISA special forces branch known as the Shadow Marshals.","[20054, 64277, 171447]",Killzone: Shadow Fall,killzone-shadow-fall,53448bd2-e72b-ae76-c8ca-d5982c7b7ea9,127.0,[1674],,"[795838, 795839, 795840, 795841, 795842, 795843]","[1, 2]","[1, 18, 39]","[3321, 3322, 3323, 3324, 3325, 3326, 3327, 3328, 3329, 3330, 3331, 3332]","[55049, 74644, 80325, 119112, 247878, 401954, 1934619, 1934941, 1938349, 2086088, 2086428, 2086801, 2087181, 2175820, 2220816, 2450223, 2586210, 2586412]",,"[943, 6516, 130630, 271332, 335054]",69.49967764405608,,[2111],[412],[48],1361716216,1688756061,,15.0,,,[3396],350.0,[7833],1384473600.0,,"[471, 564, 1939, 2031, 2033, 2115, 3042, 5647, 103298, 113114]",,,69.74983882202804,46.0,1.0,"[103834, 359512, 359513]",1937,,"Killzone Shadow Fall is the sixth game of the Killzone series. Gameplay in Shadow Fall is fairly similar to previous installments, though now with more improvements. The game is much more open-ended allowing for multiple ways to reach your target and complete objectives. The player is accompanied by a companion drone called the OWL which can help you in many different ways including deploying a zip-line or stunning the enemy. Using futuristic weapons and gear allows for new stealth gameplay. The online multiplayer mode allows for up to 24-players to battle at once on any of the games default 10 maps. The level system is now challenge-based where completing any of the games many challenges will upgrade your rank. Warzone returns as an online game mode along with Team Deathmatch and Beacon Retrieval (Capture the Flag). A new feature allows for the user to create Warzones with their own specific rules and share them with the community to download and play."
,[2],0,111599.0,https://www.igdb.com/games/sleeping-dogs,82.0,531.0,"[20602, 21215, 46555, 46556, 46557]","[5, 31]",[20228],[56722],"[22, 61, 222, 284, 735, 1033, 1358, 1459, 1494, 1669, 1675, 1714, 4345, 4359, 4580, 4678, 4726, 4918, 4927, 5025, 5264, 5308, 5323, 5339, 5468, 5474, 5659, 5814, 5885, 6075, 6212, 6369, 6711, 7345, 7352, 7386, 8150, 8220, 18567]","[1, 33, 38, 268435461, 268435487, 536870934, 536870973, 536871134, 536871196, 536871647, 536871945, 536872270, 536872371, 536872406, 536872581, 536872587, 536872626, 536875257, 536875271, 536875492, 536875590, 536875638, 536875830, 536875839, 536875937, 536876176, 536876220, 536876235, 536876251, 536876380, 536876386, 536876571, 536876726, 536876797, 536876987, 536877124, 536877281, 536877623, 536878257, 536878264, 536878298, 536879062, 536879132, 536889479]",,"[1017, 47969, 47970, 47971, 47972, 47973, 47974]",,"[3864, 19884, 19885, 19886]",Sleeping Dogs,sleeping-dogs,a2cbd7cd-12d6-5c92-ff97-106b6ef2a7e3,516.0,[893],,"[1340, 1342, 1343, 1344, 6503]",[1],"[1, 33, 38]","[1128, 1129, 1130, 1131, 1132, 1133]","[13289, 25539, 82816, 90091, 130316, 214146, 214314, 245417, 402597, 1303002, 1303003, 1303004, 1932984, 2161902, 2176221, 2586057]","[79139, 79140, 79141, 79142, 79143, 79144, 79145, 79147]","[20894, 20895, 20896, 20897, 66798, 332681]",80.9089223317399,,,[17],"[6, 9, 12, 48, 49]",1345473876,1688756061,,15.0,,,,1010.0,,1344816000.0,,"[530, 730, 731, 733, 1121, 1266, 1877, 5503, 19441, 19561]","[10872, 10873, 16398, 78449, 78450, 166002, 166003, 166004, 166005, 166006, 166007]",,81.45446116586996,181.0,,"[3309, 3310, 3311, 23409, 23410, 23411, 23412, 105600, 105601, 105602]",1267,,"Wei Shen, an young officer working for the San Francisco Police Department gets tasked to go back to his hometown of Hong Kong. In Hong Kong Wei is assigned to the Hong Kong Police Department, in a effort to take down the ""Sun on Yee"" Wei goes undercover in the triad to gather information and take them down, But the police soon become worried that he is getting attached to his ""Friends"" such as Jackie Ma. In this journey of Betrayal and High stakes, Will Wei become a ""Red Pole"" and join the high ranks of the Triads or be discovered by them and buried alive?"
,[1],0,200538.0,https://www.igdb.com/games/kingdom-come-deliverance,73.72727272727273,255.0,"[95788, 130791]","[12, 31]",,[116794],"[105, 132, 151, 426, 1459, 2137, 2245, 2424, 2452, 2489, 4224, 4353, 4357, 4918, 4957, 5308, 5323, 5343, 17432]","[1, 22, 38, 268435468, 268435487, 536871017, 536871044, 536871063, 536871338, 536872371, 536873049, 536873157, 536873336, 536873364, 536873401, 536875136, 536875265, 536875269, 536875830, 536875869, 536876220, 536876235, 536876255, 536888344]",,"[21038, 50410, 92633, 113138, 122915, 123029]","""The years is 1403, the region Bohemia, located in the heart of Europe, rich in culture, silver and sprawling castles. The game is based on a true story – a story of kings, heirs, a kingdom, castle sieges and bloody battles.

The King is dead and his eldest son Wenceslas IV becomes the new King of Bohemia.

Wenceslas’s enraged half-brother Sigismund imprisons Wenceslas and invades the country with his mighty army. Unfortunately, in the midst of this chaos, your character Henry suffers. The mercenary army destroys your home and kills your family, you are the sole survivor of the bloodbath and it is here that your road to redemption starts. Enjoy the detailed reconstruction of the 15th century landscape. Use weapons that were used by knights. Take part in epic historical battles that happened in Middle Europe and in castle sieges!""","[40032, 62409]",Kingdom Come: Deliverance,kingdom-come-deliverance,180d7b21-458d-58bc-1129-f4e11ae01815,238.0,"[1892, 2958, 9496, 10222, 14159, 14568, 15427, 16527, 18249, 18250, 62436, 62437, 62438]",,"[4226, 4227, 4228, 4229, 210957, 210958, 211554, 211555, 211557, 211558]",[1],"[1, 22, 38]",[7278],"[21891, 80331, 116258, 188846, 247204, 307432, 398462, 1238664, 1935238, 1996651, 1996714, 2068967, 2075911, 2087439, 2163116, 2163136, 2163155, 2163161, 2176321, 2179506, 2220752, 2220786, 2520888, 2564904, 2584362, 2586781, 2588947, 2626925]","[125890, 125891, 125892, 125893, 125894, 125895, 125896, 125897, 125898, 125899, 125900, 125901, 125902, 125903, 125904, 125905, 125906, 125907, 125908, 125909, 125910, 125911, 125912, 125913, 125914, 125915, 125916, 631058, 631059, 631060, 631061, 631062]","[20652, 20653, 20654, 20656, 66251, 71471, 72567, 72568, 120441, 253416, 253417, 253418, 334399]",78.69503971618896,,,[25],"[6, 48, 49, 130]",1391399249,1688756038,,17.0,,,[19391],,,1518480000.0,,"[1877, 9243, 14394, 18225, 19561, 27092, 27316, 28168, 34155, 113114]","[104985, 115030, 116991, 119899, 156157]",,76.21115622173085,353.0,187.0,"[83395, 83396, 83397, 149157, 330592]",4843,,"Story-driven open-world RPG that immerses you in an epic adventure in the Holy Roman Empire. Avenge your parents' death as you battle invading forces, go on game-changing quests, and make influential choices. Explore castles, forests, villages and other realistic settings in medieval Bohemia!"
,,0,222441.0,https://www.igdb.com/games/dreams,92.85714285714286,35.0,[69908],[31],,,"[1495, 3224, 4437, 5343, 12087, 12618, 16809]","[1, 33, 268435487, 536872407, 536874136, 536875349, 536876255, 536882999, 536883530, 536887721]",,"[25718, 57937]",,"[24434, 180620]",Dreams,dreams,5af52b62-bd37-a9ec-d481-52953f70686e,26.0,"[4413, 31768]",,"[10695, 10696, 10697, 10698, 10699, 212730, 212731, 212732]",,"[1, 33]","[63948, 63949, 63950]","[79586, 111227, 252943, 1594241, 1721682, 1928476, 1934239, 1934356, 1935849, 1936234, 1936604, 1936959, 2085562, 2085856, 2086017, 2088211, 2175661, 2581954, 2585499]","[471731, 471732, 471733, 471734]","[63764, 63765, 63766, 63767, 63769, 339956]",89.58445235661826,,,,[48],1434445104,1688756028,,9.0,,,,,,1581638400.0,,"[1877, 17548, 19564, 20342, 26192, 26574, 37016, 47823, 76883, 113360]",,,91.22079760688055,33.0,14.0,[188929],11155,,"Dreams is a game designed to unleash players’ creativity, turning the PS4 into the Creative console.

It’s both a playful sandbox game and an endless explorative journey where players can create and share their dreams, and then surf an endless dreamiverse of single assets, games, animation, music and everything in between. The thing that unites everything is the feeling of being in a dream."
,[2],0,94516.0,https://www.igdb.com/games/nioh,87.63636363636364,161.0,"[37004, 37005, 46329]","[12, 25]",,[68461],"[61, 129, 164, 175, 253, 389, 1061, 1910, 1971, 4239, 4768, 4883, 5142, 5200, 5308, 5638, 6699, 12087, 12096, 12424, 12556, 13109]","[1, 17, 22, 268435468, 268435481, 536870973, 536871041, 536871076, 536871087, 536871165, 536871301, 536871973, 536872822, 536872883, 536875151, 536875680, 536875795, 536876054, 536876112, 536876220, 536876550, 536877611, 536882999, 536883008, 536883336, 536883468, 536884021]","[28366, 46777, 59591]","[31047, 58091]",,"[26416, 35007, 41321]",Nioh,nioh,4d6248a7-cc71-d122-7309-a1265041ad38,134.0,"[5492, 6400, 7760, 8692, 9684, 10230, 11175, 11416]",,"[18893, 18894, 18895, 18896, 18897]","[1, 2]","[1, 17, 22]","[1383, 45662]","[55611, 75608, 81374, 81416, 132075, 190114, 249195, 399567, 1928768, 1929743, 1930334, 1933073, 1934539, 1936276, 1937161, 1937896, 2086238, 2086670, 2086971, 2088985, 2175682, 2439225, 2439354, 2450198, 2520887, 2586338, 2586394]",,"[7068, 7069, 7070, 336338]",80.85380631931999,,[1280],,[48],1442352380,1688756022,,27.0,,,[5141],2674.0,[1457],1486425600.0,,"[19164, 19560, 19565, 36926, 54775, 55199, 76882, 96217, 103168, 106987]",,,84.24508497784181,118.0,22.0,"[108426, 108427, 108428]",12571,,"In Nioh, players will traverse war-torn Japan as William, a blonde-haired swordsman whose background as a fierce warrior and seasoned knowledge of the blade allows him to survive in the demon-plagued land of the samurai. Known as Yokai, these demons inhabit a number of dangerous locations and lie in wait in the shadows to ambush unsuspecting victims. Players will also face off with other samurai in supernatural sword battles and intense, multi-target engagements offering a level of difficulty that will truly test even the most hardened samurai’s skills, patience, and strategy.

Offering a deep and original storyline that takes place during the Warring States Period of Japanese history alongside strategic sword-fighting action, Nioh will challenge players in a way that makes every mission and accomplishment feel earned and worthwhile."
,,0,312445.0,https://www.igdb.com/games/tap-craft,,,,"[13, 15, 32]",,,,"[21, 268435469, 268435471]",,,,,Tap Craft,tap-craft,9b48bbba-ac5d-d9d2-8e6c-9ccbca3f6dce,,,,"[1000850, 1000853, 1000855, 1000858, 1000860, 1000862]",[1],[21],[102625],"[2676857, 2676873, 2718204]","[720167, 720168, 720169]","[532460, 562065]",,,,,,1676897967,1688756019,,,,,,,,,,"[17613, 24620, 31515, 36258, 36269, 36346, 65827, 76340, 109339, 112754]",,,,,,,239048,,"Gather resources, craft new tools and build your idle empire on islands. This is an idle crafting game like you've never seen. Mine up rare metals, grow food to feed your thriving idle settlement, unlock new buildings, craft new items, and expand to new islands in Tap Craft."
,,0,288183.0,https://www.igdb.com/games/wild-hearts,81.5,12.0,[125346],[31],,,,"[1, 268435487]",,"[110024, 113292, 113293, 113294, 122363, 122802, 125735]",,"[188802, 188803]",Wild Hearts,wild-hearts,c6c280f2-ebca-4a74-eb60-2339f32fb1ef,,"[75437, 80599]",,"[900645, 900646, 900647, 900648, 900649]","[1, 2, 3]",[1],[89533],"[2601927, 2606634, 2606718, 2610168, 2610742, 2610831, 2611825, 2624028, 2632527, 2632548, 2632568, 2632571, 2632593, 2632596, 2632908, 2632915, 2632950, 2632976, 2632977, 2632980, 2632990, 2632991, 2633629, 2634583, 2634596, 2634663, 2634691, 2635089, 2635340, 2653433, 2659341, 2675888, 2675929, 2675980, 2676797, 2676947, 2676950, 2676955]","[306285, 306287, 306289, 306291, 306293, 306295, 306297, 306299, 306301, 306303, 306305, 306307, 306309, 306311, 306313, 306315, 306317, 306319, 306320, 306321, 306322, 306323, 306324, 306325, 306326, 306327, 306328, 306329, 306330, 306331, 306332, 629610, 635989, 635990, 635991, 635992]","[313479, 313480, 316962, 316963, 317815, 504489]",,,,,"[6, 167, 169]",1664267488,1688756011,,12.0,,,[25563],,[22987],1676505600.0,,"[25646, 55199, 76253, 81249, 87622, 96217, 103292, 106987, 111130, 115280]",,,81.5,1.0,5.0,"[452021, 452022, 452023, 453434]",218793,,"Prepare for an epic adventure set in a fantasy world inspired by feudal Japan. Developed by Omega Force, the Japanese studio behind Dynasty Warriors, in partnership with Electronic Arts."
,[2],0,79980.0,https://www.igdb.com/games/greedfall,70.63636363636364,135.0,,"[12, 15, 31]",,,[4357],"[1, 17, 43, 268435468, 268435471, 268435487, 536875269]",[154771],"[50335, 57672, 93749, 112568, 123818, 126821]",,"[44158, 44159]",GreedFall,greedfall,a754ee38-a800-d814-2f28-2d3744278caf,122.0,"[12035, 20728, 29211, 29443, 29711]",,"[308347, 308348, 308349, 308350, 308351, 308352, 308353, 308354]",[1],"[1, 17, 43]","[1429, 1430, 1431, 1432, 1433, 1434, 1435, 7672, 8431]","[80015, 103826, 1723139, 1925580, 1929146, 1929642, 1932953, 1933757, 1935467, 1935793, 1936677, 1937597, 1937645, 1937844, 1938268, 1941700, 1942678, 2068518, 2070867, 2082327, 2085568, 2086126, 2175717, 2176878, 2220652, 2288709, 2585777, 2586538, 2601417, 2603631]","[124084, 124085, 124086, 124087, 124088, 124089, 124090, 124091, 124092, 124093, 124094, 124095, 124096, 124097, 124098, 124099, 124100, 124101, 124102, 221265, 221266, 221267, 221270, 221271, 221278, 221279, 221286, 221287]","[18309, 18310, 18311, 18313, 108515, 116390, 127054, 399621]",75.35021111002946,,,[318],"[6, 48, 49, 167, 169]",1486658070,1688756006,,13.0,,,,,,1567987200.0,,"[17548, 28168, 55199, 80916, 81249, 96217, 103303, 106987, 113360, 116530]",,,72.99328737319655,76.0,79.0,"[171891, 171892, 256036, 296028, 296097, 414705]",27092,,"Explore a fresh new world as you set foot - alongside many other settlers, mercenaries and treasure hunters - on a remote island seeping with magic, rumored to be filled with riches and lost secrets.

GreedFall aims for a very unique visual identity, inspired by Baroque art from 17th Century Europe, depicting grandiose sceneries in muted warm colors and dark undertones.

A grand journey filled with mystery follows, as you find yourself in the middle of ever-increasing tensions between the invading settlers and the locals, protected by supernatural beings, manifestation of the island's earthly magic.

With a strong focus on its core RPG identity, GreedFall follows Spiders’ experience in building intricate worlds filled with mysteries to discover, weaving deep character interactions, and offering players great freedom to achieve quests and objectives in a multitude of different ways – through combat of course, but also through diplomacy, deception or stealth."
,[2],0,129138.0,https://www.igdb.com/games/the-order-1886,62.5,220.0,,"[5, 31]",,,"[16, 211, 563, 575, 605, 906, 1107, 1961, 1971, 2242, 2740, 4239, 4245, 4287, 4473, 4484, 4486, 4541, 4650, 4857, 4869, 4918, 5257, 5315, 5316, 5317, 5323, 5417, 5542, 5744, 5823, 5989, 6020, 6233, 6235, 6241, 15075, 15076, 23933]","[1, 17, 19, 22, 268435461, 268435487, 536870928, 536871123, 536871475, 536871487, 536871517, 536871818, 536872019, 536872873, 536872883, 536873154, 536873652, 536875151, 536875157, 536875199, 536875385, 536875396, 536875398, 536875453, 536875562, 536875769, 536875781, 536875830, 536876169, 536876227, 536876228, 536876229, 536876235, 536876329, 536876454, 536876656, 536876735, 536876901, 536876932, 536877145, 536877147, 536877153, 536885987, 536885988, 536894845]",,"[46932, 63268, 68832]","The Order: 1886 is set in an alternate history London, where an old order of knights keep all of the world safe from half bred monsters, who are a combination of animal and man. In the game's history, around the seventh or eighth centuries a small number of humans took on bestial traits. The majority of humans feared these half breeds and war broke out. Despite the humans outnumbering the half breeds, their animal strength gave them the upper hand in centuries of conflict.
Centuries later, humanity finds new hope in King Arthur and the Knights of the Round Table. King Arthur and his like-minded knights take the fight to the half breeds, but Arthur soon realizes it's a losing battle. Through a mysterious turn of fate The Knights discover Black Water, a mystical liquid that significantly extends their lifetimes and gives them remarkable healing abilities. Despite this new advantage the half breeds continue to win battle after battle, until the industrial Revolution turns the tide. Inventors are far ahead of their time, inventing technologies such as thermal imaging, Zeppelins, and wireless communications. New weapons belch electricity, ignite clouds of molten metal on top of enemies, and fulfil dual functions as Fragmentation grenades and proximity mines.
By 1886, the war still goes on, but the humans almost have martial law. A new threat emerges in the form of the lower classes rebelling against the rich and the social order, with the Knights supporting the well-to-do upper classes and nobles. The game features four main protagonists from the same squad, who each has a given name, and the adopted name of one of the original Knights. The oldest is Sebastian Mallory, the second to bear the name of Sir Percival, and the descendant of Thomas Mallory, who in the 1400s wrote Le Morte d'Arthur, the definitive Arthurian Text. A close friend of Grayson, he is one of the best Knights in the history of the order.
Grayson is the third to bear the title of Sir Galahad, and has battled the order's enemies for centuries. He views Mallory as a mentor, Lafayette as a friend, and Isabeau as a potential love interest. Other than that, little is known about him so far. Isabeau D'Argyll is one of the younger Knights in the order, but is much older than her appearance of being in her late twenties. The latest Lady Igraine, Isabeau was Grayson's apprentice and if not for her commitment to the order, his lover. Marquis de Lafayette was a French military officer who fought in the French and American Revolutions. His tactical expertise brought him to the order's attention, and Mallory approached him and convinced him to join the order. Although the group's youngest, his globetrotting has given him a whimsical outlook on life that grounds the squad. As an apprentice, he does not yet bear the name of a Knight.","[8391, 181895, 181896]",The Order: 1886,the-order-1886,a1257f7f-fcc4-ccc4-abbc-f246b5789ca9,206.0,"[2640, 2824, 6107]",,"[5870, 5871, 5872, 5873, 5874]","[1, 2]","[1, 17, 19, 22]","[4800, 4801, 4802, 4803, 4804, 4805, 4806, 4807, 4808, 4809, 4810, 6233]","[55045, 83724, 118023, 189015, 246075, 401279, 1930592, 1932909, 1934461, 1936402, 1938220, 2087845, 2175257, 2450266, 2453864, 2580764, 2582805]",,"[1051, 162282, 333309]",69.02886074698061,,,[183],[48],1382280955,1688755958,,14.0,,,,,,1424390400.0,,"[512, 1887, 1939, 1941, 1985, 2031, 3025, 7331, 7334, 105049]",,,65.76443037349031,69.0,11.0,"[23469, 106275, 106276]",3048,,"The Order: 1886 introduces players to a unique vision of Victorian-Era London where Man uses advanced technology to battle a powerful and ancient foe. As a member of an elite order of knights, join a centuries-old war that will determine the course of history forever."
,[7],0,133823.0,https://www.igdb.com/games/vacation-simulator,71.33333333333333,5.0,,"[9, 13, 31]",,,"[4222, 4234, 4439, 12087, 12618]","[1, 268435465, 268435469, 268435487, 536875134, 536875146, 536875351, 536882999, 536883530]",,[46533],,[151632],Vacation Simulator,vacation-simulator,08f252e7-a47d-13c4-d98a-29b0afd91e97,2.0,[17088],,[138512],[1],[1],[18662],"[207920, 366071, 1712400, 1907060, 2125375, 2175054, 2582626]","[208373, 208375, 208377, 208379, 208380, 208381, 208382, 300825, 300826, 300827, 300828, 300829]","[63733, 103526, 381724]",80.0,,,,"[161, 163, 165, 384, 385, 386, 390]",1512697907,1688755950,,3.0,,,,,,1554768000.0,,"[20342, 24426, 25311, 25646, 26574, 28070, 35994, 55190, 76883, 78550]",,,75.66666666666666,2.0,,"[315684, 315685, 315686, 315687, 315688, 316518, 439769]",76878,,"Vacation Simulator is the new original VR game from Owlchemy Labs, the creators of Job Simulator, and Rick and Morty: Virtual Rick-ality!

First you JOBBED, now you VACATION. Visit Vacation Island and experience RECREATION, optimal RELAXATION, and classic human pasttimes like SUNBURN. Vacation Island offers all this and more so that you can discover the lost art of TIME OFF."
,[2],9,97197.0,https://www.igdb.com/games/baja-edge-of-control-hd,65.0,4.0,,"[10, 14]",,,[304],"[268435466, 268435470, 536871216]",,"[12118, 23200, 115408, 138544]",,"[45997, 46002, 46003]",Baja: Edge of Control HD,baja-edge-of-control-hd,beea72d9-4e4e-3fc0-ae57-d5e5063a50d4,3.0,[19226],,"[41554, 41555, 41556, 41557, 41558, 211287, 211288, 211289, 211290, 211291, 211292, 211293]","[1, 2, 4]",,[34922],"[184757, 197374, 398882, 1999135, 2082483, 2085780, 2088771, 2172375]","[538396, 538397, 538398, 538399, 538400, 538401, 538402, 538403, 538404, 538405]","[20955, 56001, 452991]",70.0,,,,"[6, 48, 49]",1492541636,1688755949,5497.0,1.0,,,,2832.0,,1505347200.0,,"[80382, 109292, 109606, 113105, 116352, 116353, 116667, 117855, 118871, 120126]",,,67.5,1.0,,"[115107, 115108, 115109]",28170,,"Baja: Edge of Control HD is the carefully remastered version of the original off-road racer from 2008 for Xbox 360 and PlayStation 3. This truly unique game contains more than 1,000 miles of the toughest terrain Mother Nature has to offer, including the steepest mountains, thickest mud and deepest canyons known to man.  
  
Only the HD version features much crisper and more detailed visuals running at super smooth framerates in up to 4K screen resolution.  
  
With countless vehicles in eight different classes, including Trophy Trucks, 4x4s and buggies, Baja: Edge of Control HD features a full array of upgradeable options with authentic parts that affect each vehicle's performance.  
  
Players will put their off-road machines to the test in near-vertical Hill Climb challenges, head-to-head Open Class races, circuit races and the ultimate off-road endurance challenge: the Baja! Baja: Edge of Control HD contains more than 100 tracks across all landscapes in races that can last up to four hours.  
  
The game's vehicle physics deliver unprecedented life-like handling, and a support management system that allows gamers to monitor and repair realistic vehicle damage as fenders fly, tires are blown, suspension is stressed and engines overheat."
,[2],0,83121.0,https://www.igdb.com/games/mobile-suit-gundam-battle-operation-2,30.0,1.0,"[86208, 86209, 86210, 94099, 104270]",[5],,,[1448],"[1, 18, 268435461, 536872360]",,[32381],,"[86043, 217321, 217322]",Mobile Suit Gundam Battle Operation 2,mobile-suit-gundam-battle-operation-2,31972915-a477-3f9d-5680-b48646ddc4db,,,,"[336714, 336715]","[1, 2, 3]","[1, 18]",[63937],"[187994, 197889, 1190726, 2172443, 2583867, 2586763, 2591911]","[42888, 42889, 42890, 42891, 42893, 42894, 42895, 42896, 42897, 42898, 42899, 42900, 471579]","[117527, 274120, 274121, 513052]",,,[820],,"[6, 48, 167]",1505808017,1688755920,,1.0,,,"[9383, 20418]",3257.0,[9822],1569888000.0,,"[306, 55038, 57187, 68286, 68287, 103292, 105269, 106805, 107318, 113362]",,,30.0,3.0,2.0,"[478899, 478900, 478901]",68285,,"Sequel to the original Mobile Suit Gundam: Battle Operation. This is a free-to-play team battle action game based on the ""Mobile Suit Gundam"" series of the Universal Century. Become the strongest MS pilot through 6 vs. 6 battles!"
,,0,246007.0,https://www.igdb.com/games/theatrhythm-final-bar-line,88.75,5.0,[103432],"[7, 12]",,,[168],"[268435463, 268435468, 536871080]",,"[91080, 91137, 96250, 117839]",,[186939],Theatrhythm: Final Bar Line,theatrhythm-final-bar-line,afda04e0-eaa7-f611-0989-638fe8ce36da,,[74641],,"[882593, 882594, 882595, 882596, 882597]","[1, 2]",,[87320],"[2568641, 2587059, 2587087, 2592049, 2592062, 2592120, 2592123, 2593754, 2606588, 2606627, 2616364, 2616390, 2659115, 2659347, 2682155]","[337823, 337824, 337825, 337826, 337827, 337828, 636368, 636369]","[311576, 311577, 311578, 503702]",,,[4],,"[48, 130]",1663078687,1688755898,,5.0,,,[1493],3487.0,,1676505600.0,,"[5679, 11711, 35737, 49414, 56036, 59427, 86847, 99118, 111287, 118456]","[243365, 255229]",,88.75,,4.0,"[388965, 388966]",217556,,"Theatrhythm: Final Bar Line is a game in the Final Fantasy musical spin-off series, packed with 385 music tracks from across the whole Final Fantasy series."
,,0,220010.0,https://www.igdb.com/games/save-room,,,[88235],"[9, 13, 15, 31, 32]",,,,"[268435465, 268435469, 268435471, 268435487, 268435488]",,"[100857, 100995, 102273, 125974, 125975]",,[193810],Save Room,save-room,b14ff1b6-7fed-7991-f678-37e8bf22aed5,,[78514],,"[785300, 785301, 785302, 785303, 785304, 785305]",[1],,[90040],"[2433315, 2436912, 2623035, 2623051, 2623089, 2623323, 2627489, 2637648]","[135775, 216081, 216082, 216083, 323752]","[280142, 490330, 517635]",,,,,"[6, 48, 49, 130, 167, 169]",1651508098,1688755892,,,,,,,,1651104000.0,,"[25222, 25311, 28277, 31515, 36269, 65827, 79134, 106992, 109129, 109339]",,,,,,"[356772, 423927, 423928, 426119, 426120, 437869]",199573,,"When you enter a save room you know you are safe, no danger can come to you, you can relax. Take advantage of this short period of time to organize your inventory, heal your wounds and reload your weapons. Can you make all the items fit in your inventory?"
,,0,122166.0,https://www.igdb.com/games/monster-crown,56.66666666666666,3.0,"[100224, 102819]","[12, 31, 32]",,,,"[1, 268435468, 268435487, 268435488]",,"[46378, 56140, 92026, 114853, 133018]",,"[207333, 207334]",Monster Crown,monster-crown,98b33d8a-0abe-e243-eedb-0973654f0929,,[24747],,"[207118, 207119, 207120, 207121, 207122, 207123, 207124, 207125, 207126, 207127]","[1, 2]",[1],[20827],"[344537, 1774606, 1913337, 2087317, 2088355, 2088458, 2088459, 2088754, 2119995, 2120281, 2120282, 2120390, 2120393, 2120420, 2120432, 2120436, 2128170, 2163118, 2227272, 2270421, 2561815, 2583882, 2589787, 2590229, 2657607]","[152086, 152087, 152088, 152089, 152090, 152091, 152092, 152093, 152094, 152095, 152096, 503934, 545787, 545788, 545789, 545790, 545791, 545792, 545793, 545794, 545795, 545796, 545797]","[76625, 76626, 387848, 537462, 537463]",,,,,"[6, 48, 49, 130]",1521998966,1688755891,,3.0,,,"[10701, 20643]",,,1596153600.0,,"[25311, 28182, 28309, 30245, 80916, 96217, 105269, 106987, 111130, 113360]",,,56.66666666666666,,1.0,"[199472, 305803, 305804, 305805, 339242, 346246]",95616,,"Monster Crown - Dark Monster Catching Game with True Crossbreeds

Featuring a brand new dynamic breeding system and a deep story in a world filled to the brim with optional content. Offer contracts to dangerous beasts and breed them to create new species. Travel across Crown Island with your Monsters as you work toward stopping an underground plan to revive the sadistic Philosopher Kings and return them to their thrones"
